id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,cluster hierarchical complete,cluster hierarchical average,cluster hierarchical single
8900243722,77161041@N00,45.768287,4.801967,"square,squareformat,earlybird,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4fe864b7e4b05b60faf6704b",Un homme averti...,43,11,31,5,2013,0,4,0
13444617514,40936370@N00,45.83741,4.826163,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,artbrut,artcontemporain,ddc,sanctuary,bombing,cyberpunk,landart,alchemy,destroy,modernsculpture,prophecy,999,vanitas,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,geopolitique,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,regardscroisés,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,sculpturemoderne,groupeserveur,lespritdelasalamandre,internetactivist,servergroup,architecturevisionnaire",Regards croisés n°3 de Kurt & Thierry Ehrmann IMG_9252,7,17,12,3,2014,0,3,0
41676632322,44921934@N00,45.785074,4.853661,"sido,sido2018,internetdesobjets,objetsconnectés,lyon,conférence,citéinternationaledelyon",2018 SIdO,22,11,4,4,2018,5,4,0
14258610329,96035355@N00,45.757647,4.825225,autoupload3,Europe-2014,25,9,13,6,2014,5,4,0
35758504524,49168286@N00,45.762286,4.822344,,,27,17,4,8,2017,5,4,0
10377468095,55622671@N03,45.73644,4.814994,"lyon,biennalelyon2013",15092013-DSCF4316.jpg,18,14,15,9,2013,5,4,0
16951685932,7759978@N04,45.737503,4.813256,"france,river,lyon,saône",Lyon from the Saône,0,10,6,7,2012,5,4,0
30064110494,44218728@N04,45.761535,4.828405,,Basilique de fourvière,9,19,31,10,2016,5,4,0
6596139405,72905489@N05,45.75,4.85,,2011-06-18 Manifestation - 09,41,9,18,6,2011,5,4,0
23599526132,32799292@N00,45.741172,4.814393,"people,france,lyon",LY1215 104,52,16,5,12,2015,5,4,0
6889052324,42456491@N04,45.758863,4.826002,,Cabriolet Fantasy -  Carnaval des Dragons - St-Georges - Lyon,36,14,31,3,2012,5,4,0
6270275963,28595835@N00,45.766855,4.833662,"france,europe,lyon,benj:novakreo=1,muséedesbeauxartsdelyon,benj:uploader=fuphp,europe2011,museumoffineartsoflyon",IMGP3586,54,22,22,10,2011,5,4,0
14936042201,37843232@N06,45.757539,4.831806,,P1000538,1,14,15,8,2014,5,4,0
30579081311,113391938@N03,45.763305,4.838194,,Hardrockcafe,17,18,30,10,2016,5,4,0
15255378288,32799292@N00,45.776435,4.842621,"france,river,lyon",BAL 185,13,11,28,9,2014,0,4,0
16807753613,29262809@N08,45.765981,4.878745,"france,rhône,villages,tourisme,villes,filoer",Villeurbanne - L'Esplanade devant l'Hôtel de Ville (2015 05 02),31,10,2,5,2015,5,4,0
6229676941,51192515@N00,45.760563,4.858933,"train,lyon,tgv,sncf",DSC09911,42,10,16,8,2011,5,4,0
14219533114,68692594@N05,45.763518,4.852555,"earlysundaymorning,jacquesmeynierdemalviala,tôtundimanchematin",Tôt un dimanche matin 202,24,5,11,5,2014,5,4,0
16726260696,126972754@N03,45.74404,4.869732,"amis,selfie",Vous et Moi,56,17,6,3,2015,5,4,0
